"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"SPICEPREFIX";"SUPPLIER";
"2";"";"LED1206";"CHIPLED_1206";"D2, D4";"LED";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"PINHD-1X2";"1X02";"JP1, JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X5";"1X05";"SV1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"0";"R-US_R0603";"R0603";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"3";"0.1u";"C-EUC0603";"C0603";"C4, C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"1066";"1066";"1066";"G1";"Keystone 1066 Li Coin Cell Holder";"Good";" Coin Cell Holder";" 20 mm";" 0.896 in.";" Glass Filled Nylon";" Tin Plate";" 1 ";"Greenlee Communications";"1066";"";"";
"2";"10K";"R-US_R0603";"R0603";"R2, R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"2";"12p";"C-EUC0603";"C0603";"C7, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"1K";"R-US_R0603";"R0603";"R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"3";"1u";"C-EUC0603";"C0603";"C1, C2, C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"330";"R-US_R0603";"R0603";"R4, R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"1";"51";"R-US_R0603";"R0603";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"1";"510";"R-US_R0603";"R0603";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";"";
"1";"BAT54";"BAT54";"SOT23";"D3";"Schottky barrier diodePlanar Schottky barrier diode encapsulated in small plastic SMD packages. Single diodes and double";"";"";"";"";"";"";"";"";"";"";"";
"1";"BSS138-7-F";"BSS138-7-F";"SOT95P240X110-3N";"U3";"ENHANCEMENT MODE MOSFET";"";"";"";"";"BSS138-7-F";"1843693";"12T1442";"SOT-23-3";"";"";"DIODES INC.";
"1";"CAT3200TDI-GT3";"CAT3200TDI-GT3";"SOT95P280X100-6N";"U2";"DC-DC Converter";"Good";" Regulated Charge Pump, Low Noise, DC-DC Converter ";"ON Semiconductor";"CAT3200TDI-GT3";"";"";"";"TSOT-23-6 ON Semiconductor";"0.79 USD";"";"";
"1";"CRYSTAL.ABS07";"CRYSTAL.ABS07";"ABS07";"Y1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PB400EEQX";"PB400EEQX";"SW_PB400EEQX";"S1";"Right Angle Pushbutton Switch";"Warning";" Right Angle Pushbutton Switch ";"E-Switch";"PB400EEQX";"";"";"";"None";"0.96 USD";"";"";
"1";"PIC12F683-I/SN";"PIC12F683-I/SN";"SOIC127P600X175-8N";"U1";"IC, 8BIT MCU, PIC12, 20MHZ";"";"";"";"";"PIC12F683-I/SN";"9759042";"61K3434";"SOIC-8";"";"";"MICROCHIP";
"1";"SFH482";"SFH482";"SFH482";"D1";"IR LED";"";"";"";"";"";"";"";"";"";"";"";
